ProviderName,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,BilledCost,EffectiveCost,ListCost,ChargeCategory,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,ServiceName,ConsumedQuantity,ConsumedUnit,RegionName,ResourceId,ResourceName,SkuId,Tags,UsageType,ProductFamily
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,bandarujayendra,CoreStack-Engg,copilot_for_business,"{""username"":""bandarujayendra"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,vijaycorestack,CoreStack-Engg,copilot_for_business,"{""username"":""vijaycorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,gokulpalaniswamy,CoreStack-Engg,copilot_for_business,"{""username"":""gokulpalaniswamy"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,SivaVenkatSK,CoreStack-Engg,copilot_for_business,"{""username"":""SivaVenkatSK"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,seshanb,CoreStack-Engg,copilot_for_business,"{""username"":""seshanb"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,vamsiyerra3797,CoreStack-Engg,copilot_for_business,"{""username"":""vamsiyerra3797"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,vigneshwarms,CoreStack-Engg,copilot_for_business,"{""username"":""vigneshwarms"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,Avinash-Naidu,CoreStack-Engg,copilot_for_business,"{""username"":""Avinash-Naidu"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,0.032258064,user-months,global,sankara-nps,CoreStack-Engg,copilot_for_business,"{""username"":""sankara-nps"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
Microsoft,d883b358-f7bd-543d-6e9d-c3fbb1c70e73:2e9cb5a7-7f86-4cd3-b52d-9255d17ba36e_2019-05-31,CoreStack India Private Limited - Internal-IT,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,0,0,1.12,Usage,Monthly,2026-01-01T23:59:59Z,2026-01-01T00:00:00Z,Copilot,28,requests,global,vigneshwarms,CoreStack-Engg,copilot_premium_request,"{""username"":""vigneshwarms"",""organization"":""CoreStack-Engg""}",Requests,Developer Tools
